Curing Temperature (°C),Impact Strength (kJ/m²)
6,5.1118945697905485,aluminum/Fluoroelastomer
14,4.798223148826687,aluminum/Fluoroelastomer
19,4.693970530633278,aluminum/Fluoroelastomer
6,-3.543317741101348,Single-wall carbon nanotubes/Fluoroelastomer
14,-3.7248425721152225,Single-wall carbon nanotubes/Fluoroelastomer
19,-3.736863122290215,Single-wall carbon nanotubes/Fluoroelastomer
6,6.456299151338094,graphitic nanoplatelets/Fluoroelastomer
14,6.269115446781192,graphitic nanoplatelets/Fluoroelastomer
19,6.2565553986997555,graphitic nanoplatelets/Fluoroelastomer
6,5.567652227623243,Aluminium oxide/Fluoroelastomer
14,5.414744730929951,Aluminium oxide/Fluoroelastomer
19,5.403936952459203,Aluminium oxide/Fluoroelastomer
