Pore Volume (cm³/g),Thermal Stability (°C)
4.247569711229204,3.9133157322580114,Poly(methyl methacrylate)
5.58230944116223,3.824021948485894,Poly(methyl methacrylate)
6.156766644494227,3.8466524360822714,Poly(methyl methacrylate)
14.564374718835486,3.6880588879688943,Poly(methyl methacrylate)
17.12421892349804,3.6813795340483897,Poly(methyl methacrylate)
4.247569711229204,-6.284212848949093,PA 8
5.58230944116223,-5.121938037521662,PA 8
6.156766644494227,-5.826785713514729,PA 8
14.564374718835486,2.1920901824693537,PA 8
17.12421892349804,-1.8244647865945112,PA 8
4.247569711229204,2.091313586275179,PCTFE
5.58230944116223,5.572343958246641,PCTFE
6.156766644494227,6.2466409363528985,PCTFE
14.564374718835486,120.62798397444962,PCTFE
17.12421892349804,438.5229893000774,PCTFE
4.247569711229204,-3.9699985899276413,Poly(vinyl alcohol)
5.58230944116223,-4.0350395454748735,Poly(vinyl alcohol)
6.156766644494227,-4.471815819483031,Poly(vinyl alcohol)
14.564374718835486,-2.516140741235732,Poly(vinyl alcohol)
17.12421892349804,6.3849081567804085,Poly(vinyl alcohol)
