Pore Size (nm),Melting Temperature (°C)
5.254027069425238,12.555065148432089,Multi-wall carbon nanotubes/Polyimide
5.352457608152039,13.558414912925524,Multi-wall carbon nanotubes/Polyimide
12.551939581886542,75.52621362109642,Multi-wall carbon nanotubes/Polyimide
5.254027069425238,-5.8613759268535945,silica/Polyimide
5.352457608152039,-5.967351655409963,silica/Polyimide
12.551939581886542,-6.249873718773823,silica/Polyimide
5.254027069425238,3.8103329712623193,cellulose nanowhiskers/Polyimide
5.352457608152039,3.3753153579326893,cellulose nanowhiskers/Polyimide
12.551939581886542,5.22697558815731,cellulose nanowhiskers/Polyimide
5.254027069425238,13.06508162680683,Silica/Polyimide
5.352457608152039,8.839749683861205,Silica/Polyimide
12.551939581886542,54.44062484406736,Silica/Polyimide
5.254027069425238,-5.156144062667633,Poly(acrylonitrile)/Polyimide
5.352457608152039,-5.181379562643109,Poly(acrylonitrile)/Polyimide
12.551939581886542,-5.397349634983558,Poly(acrylonitrile)/Polyimide
