Frequency (Hz),Shear Modulus (GPa)
5.570438832719411,6.3245965093848895,
7.842789701759603,5.892643466015797,
10.735255697772931,6.072462549929027,
11.15373911939021,7.996713082127974,
15.857053228074387,11.007390186296295,
18.01755595409484,16.051389659337673,
5.570438832719411,-0.3859750090387575,
7.842789701759603,-1.1629100482291355,
10.735255697772931,2.517874050802222,
11.15373911939021,-0.44066929931730847,
15.857053228074387,3.9460480932772475,
18.01755595409484,2.8000642650158625,
5.570438832719411,-7.205752901665626,
7.842789701759603,-7.310529943373547,
10.735255697772931,-7.355979227207803,
11.15373911939021,-7.359591164898125,
15.857053228074387,-7.383835463327962,
18.01755595409484,-7.38856273604429,
