Stirring Speed (rpm),Elongation At Break (%)
0.6838432182736054,7.501905712137098,PS
2.724527756038473,9.383141145211923,PS
5.185630465461752,13.65568727525487,PS
0.6838432182736054,-1.3710920872887968,PU
2.724527756038473,-0.740645554797561,PU
5.185630465461752,2.554550577677281,PU
0.6838432182736054,5.158412020595099,Poly(tetrafluoroethylene)
2.724527756038473,5.510368961079774,Poly(tetrafluoroethylene)
5.185630465461752,5.705705187272307,Poly(tetrafluoroethylene)
0.6838432182736054,0.6828939165064967,Bisphenol E cyanate ester resin
2.724527756038473,0.4717469158836439,Bisphenol E cyanate ester resin
5.185630465461752,0.2747805575434574,Bisphenol E cyanate ester resin
