Crystallinity (%),Shear Modulus (GPa)
1,-3.57716362255465,0.06% Barium titanate
12,1.0567548974842742,0.06% Barium titanate
14,-4.746842978134174,0.06% Barium titanate
16,-4.253944862904291,0.06% Barium titanate
1,7.010394815647945,0.76% Barium titanate
12,6.0149190678127615,0.76% Barium titanate
14,5.945875633548103,0.76% Barium titanate
16,5.91326465089223,0.76% Barium titanate
1,6.47319950930984,0.73% Barium titanate
12,5.755080656373856,0.73% Barium titanate
14,5.7202770302716255,0.73% Barium titanate
16,5.671804272074739,0.73% Barium titanate
