Melting Temperature (°C),Polarization Resistance (Ω·m²)
2.6495241707041073,6.23036027857023,
5.289036757993674,6.127144357388914,
9.060531747962884,5.8557247238872305,
14.101925979198215,5.705468212834706,
15.479475354147212,5.654778320973875,
2.6495241707041073,0.6202244110633754,
5.289036757993674,0.6910791398919423,
9.060531747962884,3.252971404625841,
14.101925979198215,3.9502995889467813,
15.479475354147212,8.75161853372835,
2.6495241707041073,5.71810858199237,
5.289036757993674,5.51968775380488,
9.060531747962884,5.349406508378332,
14.101925979198215,5.280366837125626,
15.479475354147212,5.275658203821648,
2.6495241707041073,4.553283725315335,
5.289036757993674,4.306606966334909,
9.060531747962884,4.187539889448775,
14.101925979198215,4.138514940680744,
15.479475354147212,4.1333536139588345,
