vol% (%),Tensile Modulus (GPa)
4,1.773051081943544,cellulose nanocrystal/TGPAP
7,2.883288768934545,cellulose nanocrystal/TGPAP
10,4.6160934659067365,cellulose nanocrystal/TGPAP
13,4.938882070570541,cellulose nanocrystal/TGPAP
4,7.600233344290846,rGO/TGPAP
7,11.69502387294398,rGO/TGPAP
10,27.21325299621582,rGO/TGPAP
13,22.749438964976036,rGO/TGPAP
4,-3.7731399112426667,Titanium Dioxide/TGPAP
7,-3.2456390309331824,Titanium Dioxide/TGPAP
10,-2.441249701724397,Titanium Dioxide/TGPAP
13,2.7025648727599423,Titanium Dioxide/TGPAP
4,8.843385595962259,multi-walled CNTs/TGPAP
7,14.615132477385577,multi-walled CNTs/TGPAP
10,39.085299821982154,multi-walled CNTs/TGPAP
13,83.50457515507257,multi-walled CNTs/TGPAP
