Tensile Strength (MPa),Pore Volume (cm³/g)
0.3387038965377176,4.686826003063051,Ba0.7Sr0.3TiO3/Poly(bisphenol A carbonate)
6.377049889050131,5.897722775123007,Ba0.7Sr0.3TiO3/Poly(bisphenol A carbonate)
6.941972654842088,6.790948375205818,Ba0.7Sr0.3TiO3/Poly(bisphenol A carbonate)
9.692563889572504,5.5675843768642075,Ba0.7Sr0.3TiO3/Poly(bisphenol A carbonate)
16.536371957474284,14.948393113362954,Ba0.7Sr0.3TiO3/Poly(bisphenol A carbonate)
0.3387038965377176,3.3231669005042423,dodecylbenzene sulfonic acid/Poly(bisphenol A carbonate)
6.377049889050131,9.69875459736377,dodecylbenzene sulfonic acid/Poly(bisphenol A carbonate)
6.941972654842088,13.989252764262005,dodecylbenzene sulfonic acid/Poly(bisphenol A carbonate)
9.692563889572504,7.967880334632962,dodecylbenzene sulfonic acid/Poly(bisphenol A carbonate)
16.536371957474284,185.58469753810002,dodecylbenzene sulfonic acid/Poly(bisphenol A carbonate)
