X-ray Dose (Gy),Adhesion Strength (MPa)
9,-5.547266344821964,Poly(vinyl alcohol)
10,-2.7637467497535066,Poly(vinyl alcohol)
16,4.488916626521071,Poly(vinyl alcohol)
11,42.66824007925091,TGPAP
13,99.6778112805995,TGPAP
18,354.4373343642147,TGPAP
2.356602769211713,-0.11887174987636417,PEG
8.0617150426079,-0.6887028775479415,PEG
10.013599726408081,-0.7246682562123626,PEG
5.34750297190977,-6.252629436633746,PVDF
16.461180398482412,-6.7403491018554345,PVDF
18.562490763838476,-6.782492238535258,PVDF
