filler labels,Dielectric Loss
2,0.25643135327962385,Zirconium dioxide/TPU
3,0.10052462645249949,Zirconium dioxide/TPU
4,0.8683876619566542,Zirconium dioxide/TPU
6,-0.21035665730741593,Zirconium dioxide/TPU
12,-0.803744633134162,Zirconium dioxide/TPU
13,-0.9365684107000658,Zirconium dioxide/TPU
2,-2.300694992697472,OMMT/TPU
3,-2.3669503345048652,OMMT/TPU
4,-2.4899884214685954,OMMT/TPU
6,-2.6442964383321006,OMMT/TPU
12,-2.7539771331467757,OMMT/TPU
13,-2.762348504053121,OMMT/TPU
2,-0.18121199206579575,AuNPs/TPU
3,1.3532684534880577,AuNPs/TPU
4,2.887996009717349,AuNPs/TPU
6,4.898274761188997,AuNPs/TPU
12,1.5581781649474262,AuNPs/TPU
13,76.19255783460008,AuNPs/TPU
2,-1.202955856461401,Titanate nanotubes/TPU
3,-1.3491275724286897,Titanate nanotubes/TPU
4,-1.3819191028598001,Titanate nanotubes/TPU
6,-1.543429294876012,Titanate nanotubes/TPU
12,-1.6755386303355633,Titanate nanotubes/TPU
13,-1.6828709295292075,Titanate nanotubes/TPU
