Reaction Temperature (°C),Magnetic Anisotropy (J/m³)
10,15.32378636547312,multi-walled carbon nanotube/PMMA-PnBA
11,30.049416694806784,multi-walled carbon nanotube/PMMA-PnBA
15,194.51646234959736,multi-walled carbon nanotube/PMMA-PnBA
7.450373162313753,-4.673158383382079,Graphene/PMMA-PnBA
15.063748524983986,-4.774983108862745,Graphene/PMMA-PnBA
19.490892906802497,-4.7825065778981015,Graphene/PMMA-PnBA
5,-2.9598359879114158,White spirits/PMMA-PnBA
7,-3.2107052794996607,White spirits/PMMA-PnBA
13,-3.337566171225356,White spirits/PMMA-PnBA
0,-1.0202960489609143,CuPP/PMMA-PnBA
2,-0.8061353396934431,CuPP/PMMA-PnBA
10,-1.2956189985809061,CuPP/PMMA-PnBA
2.6237183238747352,6.902034993665078, Graphite/PMMA-PnBA
7.024164182377717,6.70875296619528, Graphite/PMMA-PnBA
7.241052094809346,6.748340480950293, Graphite/PMMA-PnBA
