Drying Time (h),Reduction Potential (V)
9.43786483278899,14.791829361366156,0.03% C.I. Pigment Black 6/S-SBR
12.168097986430018,7.902963977313627,0.03% C.I. Pigment Black 6/S-SBR
15.433791057765358,206.3163706055684,0.03% C.I. Pigment Black 6/S-SBR
18.431225179485505,513.8021865003186,0.03% C.I. Pigment Black 6/S-SBR
9.43786483278899,3.3237324522422997,0.94% C.I. Pigment Black 6/S-SBR
12.168097986430018,3.2966776354946536,0.94% C.I. Pigment Black 6/S-SBR
15.433791057765358,3.2810605197811524,0.94% C.I. Pigment Black 6/S-SBR
18.431225179485505,3.2757257895409864,0.94% C.I. Pigment Black 6/S-SBR
9.43786483278899,-4.697124887703004,0.3% C.I. Pigment Black 6/S-SBR
12.168097986430018,-4.727392994179798,0.3% C.I. Pigment Black 6/S-SBR
15.433791057765358,-4.850638417688447,0.3% C.I. Pigment Black 6/S-SBR
18.431225179485505,-4.909938009802053,0.3% C.I. Pigment Black 6/S-SBR
9.43786483278899,-0.47689538438260737,0.75% C.I. Pigment Black 6/S-SBR
12.168097986430018,-0.5112338448360277,0.75% C.I. Pigment Black 6/S-SBR
15.433791057765358,-0.5297349069221888,0.75% C.I. Pigment Black 6/S-SBR
18.431225179485505,-0.5344680598195806,0.75% C.I. Pigment Black 6/S-SBR
