Thermal Diffusivity (mm²/s),Thermal Stability (°C)
2,0.6682676225828302,0.19% Graphene
5,1.353069707956596,0.19% Graphene
8,1.1018632531208978,0.19% Graphene
7,1.340126551511851,0.46% Graphene
11,9.23475768763153,0.46% Graphene
13,48.56156476639416,0.46% Graphene
1,1.0461457975331734,0.76% Graphene
2,1.4051363586489356,0.76% Graphene
8,-0.6495126464631906,0.76% Graphene
6.912013799122012,-3.933687740235139,0.73% Graphene
18.48078949292374,-4.058047178076951,0.73% Graphene
18.924120769797895,-4.058599892291815,0.73% Graphene
