Gamma Radiation Dose (Gy),Zeta Potential (mV)
0,6.213865896559783,0.76% SAF/Polyimide
1,6.445327361319527,0.76% SAF/Polyimide
5,10.007139907917715,0.76% SAF/Polyimide
17,-103.75944252492894,0.76% SAF/Polyimide
0,8.88401166675247,0.58% SAF/Polyimide
1,9.39898366651616,0.58% SAF/Polyimide
5,13.653516404309812,0.58% SAF/Polyimide
17,175.92125973362295,0.58% SAF/Polyimide
0,2.9552120301323215,0.98% SAF/Polyimide
1,3.4350164933427005,0.98% SAF/Polyimide
5,3.065310442283386,0.98% SAF/Polyimide
17,3.7913672373805705,0.98% SAF/Polyimide
