Aging Temperature (°C),Passivation Current Density (A/m²)
1.3889051985012646,3.9976816948193536,0.16% single-walled CNTs/Poly(styrene-b-butadiene)
7.401995147675306,3.65543347499613,0.16% single-walled CNTs/Poly(styrene-b-butadiene)
9.762680838340508,3.5938776650725393,0.16% single-walled CNTs/Poly(styrene-b-butadiene)
1.3889051985012646,6.846447749489599,0.12% single-walled CNTs/Poly(styrene-b-butadiene)
7.401995147675306,12.618005120565412,0.12% single-walled CNTs/Poly(styrene-b-butadiene)
9.762680838340508,19.80935442237658,0.12% single-walled CNTs/Poly(styrene-b-butadiene)
1.3889051985012646,0.13375964196929202,0.52% single-walled CNTs/Poly(styrene-b-butadiene)
7.401995147675306,-0.5224549127125189,0.52% single-walled CNTs/Poly(styrene-b-butadiene)
9.762680838340508,-0.5995462015044497,0.52% single-walled CNTs/Poly(styrene-b-butadiene)
1.3889051985012646,8.552286016773415,0.34% single-walled CNTs/Poly(styrene-b-butadiene)
7.401995147675306,8.554779217186955,0.34% single-walled CNTs/Poly(styrene-b-butadiene)
9.762680838340508,10.907333499859742,0.34% single-walled CNTs/Poly(styrene-b-butadiene)
