Film Thickness (µm),Magnetoresistance
9,7.768451232262231,0.01% PVA
10,35.53852868606845,0.01% PVA
11,39.8511221688621,0.01% PVA
9,16.139746646422992,0.79% PVA
10,38.67053171864493,0.79% PVA
11,9.702041061825158,0.79% PVA
9,-5.418152834479547,0.83% PVA
10,-7.7547312849740635,0.83% PVA
11,-3.9263117101871465,0.83% PVA
9,8.047098569233087,0.64% PVA
10,7.964185348791116,0.64% PVA
11,7.970705203580072,0.64% PVA
9,-6.902596229160532,0.04% PVA
10,-6.928467392965897,0.04% PVA
11,-6.94252044422225,0.04% PVA
