Annealing Temperature (°C),Flexural Strength (MPa)
1.188716698688872,5.159788385815959,Poly(butylene)
3.1069618588222614,6.1712698492109785,Poly(butylene)
5.406017063332476,6.531857143622055,Poly(butylene)
6.443854280452839,4.938958414519813,Poly(butylene)
7.324596467025866,6.2186151390393745,Poly(butylene)
9.345594831896237,6.701518862548079,Poly(butylene)
11.982594707774846,8.366742648496821,Poly(butylene)
5.898600213204917,7.720411787760008,PGMA
6.082163270462866,7.779330536008165,PGMA
8.835175863661707,7.652199860483793,PGMA
12.674567389817328,7.599596397665143,PGMA
13.119193084816807,7.596920113178765,PGMA
15.452360285243948,7.5866872110446515,PGMA
16.040514739261717,7.585523692449767,PGMA
0.8265879215296801,5.9591673539793,P(BA-a)
2.1513068858333373,6.190581761154467,P(BA-a)
2.278373086096972,5.607386710151704,P(BA-a)
3.3320560329197613,6.404335020490528,P(BA-a)
3.6975664141199327,5.328531180592652,P(BA-a)
7.32651095210141,6.50496737050506,P(BA-a)
14.37236286120762,15.121145659451926,P(BA-a)
6.359404890592149,-3.1550235096897254,Acrylonitrile butadiene styrene
6.894387855754918,-3.141031589304859,Acrylonitrile butadiene styrene
9.002625862713842,-3.198794909915623,Acrylonitrile butadiene styrene
9.739729932975361,-3.3015347446674292,Acrylonitrile butadiene styrene
12.57860283236063,-3.365337722876519,Acrylonitrile butadiene styrene
15.953928019577079,-3.4481825115390987,Acrylonitrile butadiene styrene
19.45281307801354,-3.501401839541622,Acrylonitrile butadiene styrene
0.8774505884957917,-6.0880894710015525,P2VP
4.882713065458992,-5.454053163229393,P2VP
4.931948430695945,-5.432520076305515,P2VP
6.382132475892199,-5.394773323683433,P2VP
8.788769352442014,-2.0613905959312273,P2VP
12.989727459245778,-2.783048176541329,P2VP
14.643720138542866,-2.3151142296686738,P2VP
