Neutron Flux (n/cm²/s),Zero-shear Viscosity (Pa·s)
4.790807100173222,-4.057177287057974,
13.155063412830275,-4.415454627316653,
15.290259382522578,-4.485345283455332,
4.790807100173222,7.149495390197228,
13.155063412830275,6.835800487781277,
15.290259382522578,6.797725473179677,
4.790807100173222,-6.429811199440819,
13.155063412830275,-6.64630254262383,
15.290259382522578,-6.655286931174302,
4.790807100173222,8.63632110593568,
13.155063412830275,38.67687527312514,
15.290259382522578,103.89389517187779,
4.790807100173222,-4.641403162713399,
13.155063412830275,-5.070963967440914,
15.290259382522578,-5.138334229180114,
