Synthesis Time (min),Surface Area (m²/g)
1.3659751119864127,9.132361430145625,0.78% CuPP
7.747474147012328,8.384619086929753,0.78% CuPP
11.604015436834175,8.284131594741398,0.78% CuPP
12.8497983267118,8.242055853195994,0.78% CuPP
13.18259403429762,8.180968789498413,0.78% CuPP
13.639935529407106,8.191314271123149,0.78% CuPP
2.2767834178610102,6.8281620545956105,0.92% CuPP
9.310495555684389,6.451766294234794,0.92% CuPP
10.170227273499195,6.4220122836987725,0.92% CuPP
11.525811109466721,6.410307629895976,0.92% CuPP
13.992900638506214,6.394365470997618,0.92% CuPP
16.18549770755166,6.387713869923089,0.92% CuPP
1,2.544222299079374,0.3% CuPP
2,2.6290667153956386,0.3% CuPP
4,2.1608162730093046,0.3% CuPP
5,2.1437520112986377,0.3% CuPP
9,1.9465061942827566,0.3% CuPP
12,1.8895207004274108,0.3% CuPP
0,8.772120512234302,0.22% CuPP
7,9.68186362986633,0.22% CuPP
10,9.430494700856668,0.22% CuPP
12,14.253755146354756,0.22% CuPP
15,11.286122613610186,0.22% CuPP
18,25.26229657977775,0.22% CuPP
1.1568144903822208,-3.779468470843941,0.96% CuPP
5.8690115286868245,-1.1557480488748824,0.96% CuPP
9.28680506454046,11.343030112480262,0.96% CuPP
9.38110048981681,18.97493968700053,0.96% CuPP
14.066061385621353,61.37127107106497,0.96% CuPP
17.891024887057313,519.7050680864232,0.96% CuPP
