Aging Time (h),Dielectric Breakdown Strength (MV/m)
6,5.132358566741242,0.33% Aluminium oxide/S-SBR
7,5.072853309829683,0.33% Aluminium oxide/S-SBR
8,5.0378690695970985,0.33% Aluminium oxide/S-SBR
9,5.018573518068046,0.33% Aluminium oxide/S-SBR
15,4.962914342236356,0.33% Aluminium oxide/S-SBR
18,4.956833588008665,0.33% Aluminium oxide/S-SBR
6,-3.1667548733018567,0.75% Aluminium oxide/S-SBR
7,-3.254186194643193,0.75% Aluminium oxide/S-SBR
8,-3.2769145452930752,0.75% Aluminium oxide/S-SBR
9,-3.327344857933504,0.75% Aluminium oxide/S-SBR
15,-3.5343059449273646,0.75% Aluminium oxide/S-SBR
18,-3.5750477193859584,0.75% Aluminium oxide/S-SBR
