Heat Treatment Time (h),Fatigue Strength (MPa)
1,-1.5694082178803377,Poly(acrylonitrile)/PVA
5,-1.1778694555234832,Poly(acrylonitrile)/PVA
7,-0.43080789592914925,Poly(acrylonitrile)/PVA
9,1.5100047077195136,Poly(acrylonitrile)/PVA
11,0.8667619358091563,Poly(acrylonitrile)/PVA
13,-5.015315350096194,Poly(acrylonitrile)/PVA
17,10.499608601491932,Poly(acrylonitrile)/PVA
1,7.022346316943696,Silicon dioxide/PVA
5,6.544472226224546,Silicon dioxide/PVA
7,6.484722920777217,Silicon dioxide/PVA
9,6.305094038077509,Silicon dioxide/PVA
11,6.308545288473799,Silicon dioxide/PVA
13,6.22619397424717,Silicon dioxide/PVA
17,6.125773972023885,Silicon dioxide/PVA
