Holding Time (min),Magnetization (A/m)
4,3.935034805017063,0.57% rGO/IMPP
9,18.140730782177258,0.57% rGO/IMPP
11,12.41309366002572,0.57% rGO/IMPP
16,56.297231727467945,0.57% rGO/IMPP
4,7.789398925528073,0.6% rGO/IMPP
9,7.528772918491789,0.6% rGO/IMPP
11,7.499830663782331,0.6% rGO/IMPP
16,7.472299586754532,0.6% rGO/IMPP
4,9.708857953528778,0.46% rGO/IMPP
9,29.680203612836394,0.46% rGO/IMPP
11,26.49900160927644,0.46% rGO/IMPP
16,105.32624339649828,0.46% rGO/IMPP
4,7.677443196155685,0.27% rGO/IMPP
9,7.257684685549025,0.27% rGO/IMPP
11,7.133618421565573,0.27% rGO/IMPP
16,7.041257365085,0.27% rGO/IMPP
