Melting Temperature (°C),Electrochemical Potential (V)
7.969449917087457,5.47211088447053,PTFCE
10.246934187220607,5.435134421706123,PTFCE
10.695251122033149,5.431918953727089,PTFCE
17.89826978403251,5.392249432586605,PTFCE
1,-1.6253955744976931,silicone
5,3.5295126305667486,silicone
12,77.02447816013348,silicone
16,163.8711991577602,silicone
0,-6.778017590580436,P(Baph)
1,-6.901873309657537,P(Baph)
14,-7.647462968253062,P(Baph)
17,-7.656626010369424,P(Baph)
1,-4.915016382779397,Silicone rubber
12,-5.436736423072526,Silicone rubber
13,-5.466112664861421,Silicone rubber
18,-5.58670611756185,Silicone rubber
