Calcination Time (h),Charge Transfer Resistance (Ω·m²)
3.9978104759376576,4.4020246752687795,rGO/PVC-P
4.846743161661486,4.258864015715545,rGO/PVC-P
8.370308555238278,4.172066160530498,rGO/PVC-P
10.77738159239788,4.052256720848662,rGO/PVC-P
3.9978104759376576,-2.3871748442333214,Barium Titanate/PVC-P
4.846743161661486,-2.2214640051305374,Barium Titanate/PVC-P
8.370308555238278,0.08874741968935629,Barium Titanate/PVC-P
10.77738159239788,1.1147917688771098,Barium Titanate/PVC-P
3.9978104759376576,-1.8741988282818214,Montmorillonite/PVC-P
4.846743161661486,-1.8995429087062234,Montmorillonite/PVC-P
8.370308555238278,-2.0249779097567373,Montmorillonite/PVC-P
10.77738159239788,-2.1719765916201705,Montmorillonite/PVC-P
