Pressure (Pa),Melting Temperature (°C)
1,-0.49828526253073924,multi-walled carbon nanotube/DGEBF Epoxy Resin
11,-1.3409982385601307,multi-walled carbon nanotube/DGEBF Epoxy Resin
18,-1.3763313782633841,multi-walled carbon nanotube/DGEBF Epoxy Resin
1,7.347025838275097,OFG/DGEBF Epoxy Resin
11,6.879562046713245,OFG/DGEBF Epoxy Resin
18,6.688187604726975,OFG/DGEBF Epoxy Resin
1,8.124175427612938,graphene oxide/DGEBF Epoxy Resin
11,7.350445683658154,graphene oxide/DGEBF Epoxy Resin
18,7.311778396402129,graphene oxide/DGEBF Epoxy Resin
1,-2.5574778110586918,graphitic nanoplatelets/DGEBF Epoxy Resin
11,-3.362686556747106,graphitic nanoplatelets/DGEBF Epoxy Resin
18,-3.394880894778828,graphitic nanoplatelets/DGEBF Epoxy Resin
