Storage Time (days),Fatigue Strength (MPa)
1.7103040955834081,5.3257708871030305,0.73% exfoliated graphite
4.285118476885401,5.412165221548788,0.73% exfoliated graphite
10.71624178981458,8.519383904600394,0.73% exfoliated graphite
16.622548340729008,8.135216894274732,0.73% exfoliated graphite
17.872795139998225,12.530005499298774,0.73% exfoliated graphite
1.7103040955834081,-6.0881633056949624,0.99% exfoliated graphite
4.285118476885401,-6.475405339041328,0.99% exfoliated graphite
10.71624178981458,-6.69790491091436,0.99% exfoliated graphite
16.622548340729008,-6.728938883956844,0.99% exfoliated graphite
17.872795139998225,-6.731092649916233,0.99% exfoliated graphite
1.7103040955834081,-7.103447900447552,0.86% exfoliated graphite
4.285118476885401,-7.145950762904095,0.86% exfoliated graphite
10.71624178981458,-7.462002669526102,0.86% exfoliated graphite
16.622548340729008,-7.61404438195576,0.86% exfoliated graphite
17.872795139998225,-7.6472160905380235,0.86% exfoliated graphite
1.7103040955834081,5.143155755075902,0.1% exfoliated graphite
4.285118476885401,4.984875899611589,0.1% exfoliated graphite
10.71624178981458,4.667837233480386,0.1% exfoliated graphite
16.622548340729008,4.635505255279859,0.1% exfoliated graphite
17.872795139998225,4.633197887480322,0.1% exfoliated graphite
1.7103040955834081,-1.308542881841042,0.02% exfoliated graphite
4.285118476885401,-1.4090234762150216,0.02% exfoliated graphite
10.71624178981458,-1.689884862131104,0.02% exfoliated graphite
16.622548340729008,-1.8624031882034575,0.02% exfoliated graphite
17.872795139998225,-1.879889023857493,0.02% exfoliated graphite
