Softening Temperature (°C),Specific Viscosity
0.5848831162063117,5.656572759244451,0.11% Single-wall carbon nanotubes/Thermoplastic polyurethane
0.927465311622897,4.956227970242544,0.11% Single-wall carbon nanotubes/Thermoplastic polyurethane
5.608002621121466,7.853184221958346,0.11% Single-wall carbon nanotubes/Thermoplastic polyurethane
0.5848831162063117,6.207027142788768,0.8% Single-wall carbon nanotubes/Thermoplastic polyurethane
0.927465311622897,6.043970094865878,0.8% Single-wall carbon nanotubes/Thermoplastic polyurethane
5.608002621121466,5.406124659303357,0.8% Single-wall carbon nanotubes/Thermoplastic polyurethane
0.5848831162063117,1.032963309451806,0.48% Single-wall carbon nanotubes/Thermoplastic polyurethane
0.927465311622897,0.9685826649510616,0.48% Single-wall carbon nanotubes/Thermoplastic polyurethane
5.608002621121466,5.298604071560037,0.48% Single-wall carbon nanotubes/Thermoplastic polyurethane
0.5848831162063117,7.731591228177826,0.19% Single-wall carbon nanotubes/Thermoplastic polyurethane
0.927465311622897,7.974073386895367,0.19% Single-wall carbon nanotubes/Thermoplastic polyurethane
5.608002621121466,7.258094748270989,0.19% Single-wall carbon nanotubes/Thermoplastic polyurethane
