Coefficient Of Thermal Expansion (1/K),Heat Of Fusion (J/g)
2,-0.477040342063652,Bisphenol E cyanate ester resin
4,-0.7389207850823962,Bisphenol E cyanate ester resin
5,-0.8261370996335546,Bisphenol E cyanate ester resin
8,-0.9383707842527782,Bisphenol E cyanate ester resin
11,-0.9867145141131614,Bisphenol E cyanate ester resin
2,-3.4835376864077294,PBI
4,-3.573292020124254,PBI
5,-3.7862189422380763,PBI
8,-3.852260951028426,PBI
11,-3.991719552673504,PBI
2,4.539350773458239,PC
4,4.103938710187263,PC
5,4.594244290385315,PC
8,18.088302569104805,PC
11,24.958503596597705,PC
2,-3.3286489665685832,Poly(acrylic acid)
4,-3.306373993530646,Poly(acrylic acid)
5,-3.3581375077980384,Poly(acrylic acid)
8,-3.5326714117213616,Poly(acrylic acid)
11,-3.625775281140924,Poly(acrylic acid)
2,5.052876489353508,Poly(ethylene-vinyl acetate)
4,4.764617069762419,Poly(ethylene-vinyl acetate)
5,4.701569955875371,Poly(ethylene-vinyl acetate)
8,4.5600280547367005,Poly(ethylene-vinyl acetate)
11,4.52136000224707,Poly(ethylene-vinyl acetate)
