Pore Volume (cm³/g),Magnetoresistance
10.00478416950652,3.8866816418164905,0.43% PAN/PAN
12.712559311097547,3.8528072669943136,0.43% PAN/PAN
15.262082472037816,3.84012277962243,0.43% PAN/PAN
16.8071673268908,3.835787746434571,0.43% PAN/PAN
17.554387753033623,3.835186819157516,0.43% PAN/PAN
10.00478416950652,3.062771476941618,0.82% PAN/PAN
12.712559311097547,3.009639884548212,0.82% PAN/PAN
15.262082472037816,2.9233695692606454,0.82% PAN/PAN
16.8071673268908,2.8995025184673873,0.82% PAN/PAN
17.554387753033623,2.877920450580564,0.82% PAN/PAN
10.00478416950652,-2.3126338825188926,0.98% PAN/PAN
12.712559311097547,-2.339172846872031,0.98% PAN/PAN
15.262082472037816,-2.3501896067416026,0.98% PAN/PAN
16.8071673268908,-2.3539759800148268,0.98% PAN/PAN
17.554387753033623,-2.355642305221718,0.98% PAN/PAN
10.00478416950652,20.10669952869278,0.09% PAN/PAN
12.712559311097547,-6.064280340407294,0.09% PAN/PAN
15.262082472037816,142.55179008625208,0.09% PAN/PAN
16.8071673268908,287.61420949888696,0.09% PAN/PAN
17.554387753033623,452.64173268040446,0.09% PAN/PAN
10.00478416950652,3.867316438420585,0.85% PAN/PAN
12.712559311097547,3.837118707559703,0.85% PAN/PAN
15.262082472037816,3.826421339843192,0.85% PAN/PAN
16.8071673268908,3.823171910829627,0.85% PAN/PAN
17.554387753033623,3.821366514048647,0.85% PAN/PAN
