Reaction Temperature (°C),Magnetic Permeability (H/m)
3.1656106656772987,3.5279113066279173,exfoliated graphene/Poly(hexafluoro propylene)
11.090123671787168,3.1752511559223984,exfoliated graphene/Poly(hexafluoro propylene)
11.197093751025173,3.176959491599381,exfoliated graphene/Poly(hexafluoro propylene)
14.185032407967299,3.1567471980739836,exfoliated graphene/Poly(hexafluoro propylene)
3.1656106656772987,-7.4676094977950935,Mineral oil/Poly(hexafluoro propylene)
11.090123671787168,-7.848909432005537,Mineral oil/Poly(hexafluoro propylene)
11.197093751025173,-7.848251291251417,Mineral oil/Poly(hexafluoro propylene)
14.185032407967299,-7.871995413589482,Mineral oil/Poly(hexafluoro propylene)
3.1656106656772987,-6.185218969770545,titanium dioxide/Poly(hexafluoro propylene)
11.090123671787168,-7.712836591271214,titanium dioxide/Poly(hexafluoro propylene)
11.197093751025173,-6.271330898934078,titanium dioxide/Poly(hexafluoro propylene)
14.185032407967299,-7.455879514814841,titanium dioxide/Poly(hexafluoro propylene)
3.1656106656772987,-1.3446684524889643,FeO/Poly(hexafluoro propylene)
11.090123671787168,31.985805950214733,FeO/Poly(hexafluoro propylene)
11.197093751025173,15.676806655130562,FeO/Poly(hexafluoro propylene)
14.185032407967299,76.44912408418948,FeO/Poly(hexafluoro propylene)
