Specific Heat Capacity (J/(g·K)),Thermal Diffusivity (mm²/s)
2,0.4920742682847149,9-anthracenemethanol/PEEK
4,0.30098129617863445,9-anthracenemethanol/PEEK
5,0.5537573189257023,9-anthracenemethanol/PEEK
17,-0.11200452261422372,9-anthracenemethanol/PEEK
18,-0.11255345416338541,9-anthracenemethanol/PEEK
0,-1.9000219503317188,titanium dioxide/PEEK
2,-1.87472342268263,titanium dioxide/PEEK
5,-1.756308697549128,titanium dioxide/PEEK
13,-0.9359712206000754,titanium dioxide/PEEK
14,-5.419235894244883,titanium dioxide/PEEK
4,10.056854949240055,Barium Titanate/PEEK
7,11.999520962205954,Barium Titanate/PEEK
12,38.76768604016155,Barium Titanate/PEEK
13,28.57633922749664,Barium Titanate/PEEK
15,-10.89051543755627,Barium Titanate/PEEK
4,-4.6359615641042655,Calcium Carbonate/PEEK
6,-5.595120306893589,Calcium Carbonate/PEEK
10,-1.7896929770291603,Calcium Carbonate/PEEK
11,-2.630464012352183,Calcium Carbonate/PEEK
17,-11.698944459969745,Calcium Carbonate/PEEK
