Exposure Time (h),Conductivity (S/m)
0.03909115242027861,4.573855890437665,Poly(butylene terephthalate)
4.621142119208185,7.478077932083803,Poly(butylene terephthalate)
9.48396139668407,17.861339718327052,Poly(butylene terephthalate)
19.50631163865176,-88.486536483495,Poly(butylene terephthalate)
0.03909115242027861,-1.197473560037358,BR
4.621142119208185,-1.0709294382819545,BR
9.48396139668407,1.5618028701534108,BR
19.50631163865176,25.13221509407561,BR
0.03909115242027861,-6.91465604986464,Poly(ethylene terephthalate)
4.621142119208185,-3.5037868278678967,Poly(ethylene terephthalate)
9.48396139668407,10.140862996305604,Poly(ethylene terephthalate)
19.50631163865176,574.2668191101615,Poly(ethylene terephthalate)
0.03909115242027861,7.884963152514746,UPR
4.621142119208185,7.5723536117164745,UPR
9.48396139668407,7.37497660190133,UPR
19.50631163865176,7.116836404572967,UPR
