Curing Time (min),Fatigue Strength (MPa)
1,-1.227500294136565,0.2% Lead(II) sulfide/iPP
2,-0.47813922920586927,0.2% Lead(II) sulfide/iPP
13,2.146194362250103,0.2% Lead(II) sulfide/iPP
16,-3.086307215171921,0.2% Lead(II) sulfide/iPP
19,-0.44024219723978497,0.2% Lead(II) sulfide/iPP
1,7.375017554044831,0.93% Lead(II) sulfide/iPP
2,6.793745742561352,0.93% Lead(II) sulfide/iPP
13,6.362296643426081,0.93% Lead(II) sulfide/iPP
16,6.3487471500471315,0.93% Lead(II) sulfide/iPP
19,6.343676286378515,0.93% Lead(II) sulfide/iPP
1,3.028748546100571,0.7% Lead(II) sulfide/iPP
2,2.7282640952032793,0.7% Lead(II) sulfide/iPP
13,2.250692772068092,0.7% Lead(II) sulfide/iPP
16,2.237679872488159,0.7% Lead(II) sulfide/iPP
19,2.2325863530119476,0.7% Lead(II) sulfide/iPP
1,-2.1810717502387225,0.07% Lead(II) sulfide/iPP
2,-2.1309362708834354,0.07% Lead(II) sulfide/iPP
13,-2.6986034808292634,0.07% Lead(II) sulfide/iPP
16,-2.7114011996310396,0.07% Lead(II) sulfide/iPP
19,-2.7162013281277235,0.07% Lead(II) sulfide/iPP
