Incubation Temperature (°C),Ionic Conductivity (S/m)
7.956147024661653,-7.598856443934822,Silicon carbide/CNBR
8.026670487127808,-7.531536102941186,Silicon carbide/CNBR
15.234707513401524,-7.748590121628816,Silicon carbide/CNBR
15.711790861150162,-7.762099002837814,Silicon carbide/CNBR
7.956147024661653,-2.742014906832128,Methoxy(dimethyl)octylsilane/CNBR
8.026670487127808,-2.21475966742066,Methoxy(dimethyl)octylsilane/CNBR
15.234707513401524,1.557827497166758,Methoxy(dimethyl)octylsilane/CNBR
15.711790861150162,-0.11423428324288576,Methoxy(dimethyl)octylsilane/CNBR
7.956147024661653,1.257253767787248,Polyaniline/CNBR
8.026670487127808,1.2674908754450085,Polyaniline/CNBR
15.234707513401524,1.1803159876259064,Polyaniline/CNBR
15.711790861150162,1.178564688325411,Polyaniline/CNBR
