Drying Time (h),Modulus Of Elasticity (GPa)
3,6.3078825583938976,Poly(ethyl methacrylate)
4,6.210437730195082,Poly(ethyl methacrylate)
9,5.978324608728758,Poly(ethyl methacrylate)
14,5.919756959262143,Poly(ethyl methacrylate)
17,5.911515107870022,Poly(ethyl methacrylate)
3,-1.7235965937192481,Poly(butyl acrylate)
4,-1.7556458924287126,Poly(butyl acrylate)
9,-2.0140135861081085,Poly(butyl acrylate)
14,-2.0674506008715663,Poly(butyl acrylate)
17,-2.0758427287011214,Poly(butyl acrylate)
3,-2.385516088595251,PVAL
4,-2.57329784071774,PVAL
9,-2.7835009376749666,PVAL
14,-2.8362027881653837,PVAL
17,-2.8462784805353167,PVAL
3,7.7045501096751305,PANa
4,8.384981476474966,PANa
9,10.984262403798073,PANa
14,9.846418690021903,PANa
17,16.708941377415158,PANa
3,-4.1166465270622865,PBD
4,-4.488632107709851,PBD
9,19.983537036868317,PBD
14,107.52649696266441,PBD
17,260.8374008629797,PBD
