Thermal Conductivity (W/(m·K)),Modulus Of Elasticity (GPa)
3,-5.9267825677549375,Sodium titanate nanotubes/Poly(vinyl pyrrolidone)
5,-6.434232274543941,Sodium titanate nanotubes/Poly(vinyl pyrrolidone)
9,-3.9295497961018397,Sodium titanate nanotubes/Poly(vinyl pyrrolidone)
10,-3.0153889096468713,Sodium titanate nanotubes/Poly(vinyl pyrrolidone)
11,-3.2604116750278394,Sodium titanate nanotubes/Poly(vinyl pyrrolidone)
17,-5.381954430543134,Sodium titanate nanotubes/Poly(vinyl pyrrolidone)
3,-1.2566891554445374,Methoxy(dimethyl)octylsilane/Poly(vinyl pyrrolidone)
5,0.6723427513883484,Methoxy(dimethyl)octylsilane/Poly(vinyl pyrrolidone)
9,-2.9708443384289005,Methoxy(dimethyl)octylsilane/Poly(vinyl pyrrolidone)
10,7.431736646500175,Methoxy(dimethyl)octylsilane/Poly(vinyl pyrrolidone)
11,55.16015655872571,Methoxy(dimethyl)octylsilane/Poly(vinyl pyrrolidone)
17,244.03663589292606,Methoxy(dimethyl)octylsilane/Poly(vinyl pyrrolidone)
3,2.6998794882491435,Zinc Oxide/Poly(vinyl pyrrolidone)
5,2.4446756809427512,Zinc Oxide/Poly(vinyl pyrrolidone)
9,2.164564533112257,Zinc Oxide/Poly(vinyl pyrrolidone)
10,2.1168164823932947,Zinc Oxide/Poly(vinyl pyrrolidone)
11,2.1308310581092216,Zinc Oxide/Poly(vinyl pyrrolidone)
17,1.9693880916669744,Zinc Oxide/Poly(vinyl pyrrolidone)
3,-3.5410095305774067,SWNT/Poly(vinyl pyrrolidone)
5,-3.4698742396615883,SWNT/Poly(vinyl pyrrolidone)
9,-3.54516412209385,SWNT/Poly(vinyl pyrrolidone)
10,-3.6933223229826893,SWNT/Poly(vinyl pyrrolidone)
11,-3.6682345961438054,SWNT/Poly(vinyl pyrrolidone)
17,-3.859673267930471,SWNT/Poly(vinyl pyrrolidone)
