Storage Time (days),Thermal Diffusivity (mm²/s)
9.12082060687015,2.5523518354662422,0.09% graphene nanoribbon
9.642116593536183,3.960684818951506,0.09% graphene nanoribbon
10.093293684572163,2.104788551793421,0.09% graphene nanoribbon
11.239549876879128,5.2875317486732705,0.09% graphene nanoribbon
12.745160145700677,0.576281861703464,0.09% graphene nanoribbon
13.262364240466951,7.672842233730751,0.09% graphene nanoribbon
0,-0.20106595873044864,0.9% graphene nanoribbon
1,-0.49516984126938524,0.9% graphene nanoribbon
2,-0.6513127853834161,0.9% graphene nanoribbon
4,-0.6696482195197319,0.9% graphene nanoribbon
6,-0.8531527206758767,0.9% graphene nanoribbon
7,-0.8063903869000489,0.9% graphene nanoribbon
5.461983769465306,-5.685971873442144,0.59% graphene nanoribbon
11.907513136394574,-5.640261439869957,0.59% graphene nanoribbon
14.343857785785604,-0.26642576221853087,0.59% graphene nanoribbon
15.058223133154131,0.3215674420038992,0.59% graphene nanoribbon
17.341599599405086,0.01862714842763591,0.59% graphene nanoribbon
17.642917650473706,-3.056798367007895,0.59% graphene nanoribbon
