Drying Time (h),Poisson’s Ratio
0,8.643200769145574,PVB
2,8.776200481059378,PVB
3,8.650826988608243,PVB
10,8.256792790744262,PVB
14,8.139585020615836,PVB
0,4.112605459275591,Poly(butylene terephthalate)
2,3.493825163604963,Poly(butylene terephthalate)
3,3.5517842635974044,Poly(butylene terephthalate)
10,3.189017898296631,Poly(butylene terephthalate)
14,3.159418156832382,Poly(butylene terephthalate)
0,5.818687576897281,P(VDF-TrFE-CTFE)
2,7.270498834373466,P(VDF-TrFE-CTFE)
3,8.101821247687742,P(VDF-TrFE-CTFE)
10,24.838771399633814,P(VDF-TrFE-CTFE)
14,76.12404651847405,P(VDF-TrFE-CTFE)
0,-1.173142603038996,PRX
2,-1.0432379759364907,PRX
3,-1.1506670644306214,PRX
10,-1.5729383875850311,PRX
14,-1.7032003476023565,PRX
