Decomposition Temperature (°C),Decomposition Temperature (°C)
3,3.601816688320397,Polylactic acid
4,4.179051133761973,Polylactic acid
9,2.4471112953964016,Polylactic acid
13,4.382524728495806,Polylactic acid
3,0.092035063420699,Polylactic acid
4,-0.21380724457975375,Polylactic acid
9,-0.3671312986139836,Polylactic acid
13,-0.47174724660290823,Polylactic acid
3,1.5228523774182046,triglycidyl para-aminophenol
4,1.3689538711848783,triglycidyl para-aminophenol
9,1.0012897269710708,triglycidyl para-aminophenol
13,0.9028308686256289,triglycidyl para-aminophenol
3,2.326097172814176,PBD
4,7.115293955697483,PBD
9,14.353321023301714,PBD
13,54.090078756055206,PBD
3,5.0071045486386,CNBR
4,4.190847164488695,CNBR
9,7.097108634262801,CNBR
13,8.215801108879193,CNBR
