Calcination Time (h),Zero-shear Viscosity (Pa·s)
8,-4.3259007733788435,Poly(acrylonitrile)/PEVA
9,-4.3186670595696315,Poly(acrylonitrile)/PEVA
15,-4.543431547166692,Poly(acrylonitrile)/PEVA
18,-4.610768378273523,Poly(acrylonitrile)/PEVA
19,-4.633042070081031,Poly(acrylonitrile)/PEVA
8,17.971198103354816,cellulose nanocrystal/PEVA
9,19.829389585878637,cellulose nanocrystal/PEVA
15,130.44190106041842,cellulose nanocrystal/PEVA
18,318.3233255616397,cellulose nanocrystal/PEVA
19,348.1059864304423,cellulose nanocrystal/PEVA
