Electric Field (V/m),Heat Of Fusion (J/g)
10.433542939319993,10.175226014868493,0.34% dodecylbenzene sulfonic acid
14.469810759425963,88.16788120232506,0.34% dodecylbenzene sulfonic acid
15.481287128928727,130.44818757224323,0.34% dodecylbenzene sulfonic acid
15.586703500373275,91.36047341593674,0.34% dodecylbenzene sulfonic acid
16.05443276944486,41.82713981552123,0.34% dodecylbenzene sulfonic acid
10.433542939319993,4.643744827182103,0.72% dodecylbenzene sulfonic acid
14.469810759425963,0.13426402587477204,0.72% dodecylbenzene sulfonic acid
15.481287128928727,1.489058046652525,0.72% dodecylbenzene sulfonic acid
15.586703500373275,7.429007319503607,0.72% dodecylbenzene sulfonic acid
16.05443276944486,-1.7750586794223606,0.72% dodecylbenzene sulfonic acid
