Temperature (°C),Fatigue Strength (MPa)
1,1.1272540024847553,0.83% FeO/PVDF
3,0.7326667140955867,0.83% FeO/PVDF
11,0.29608131467618326,0.83% FeO/PVDF
17,0.2693408439530927,0.83% FeO/PVDF
18,0.26782391957891205,0.83% FeO/PVDF
1,6.876647721338442,0.24% FeO/PVDF
3,6.800536609404186,0.24% FeO/PVDF
11,6.229157369676491,0.24% FeO/PVDF
17,6.075496604275114,0.24% FeO/PVDF
18,6.062653207542339,0.24% FeO/PVDF
1,3.66035945615796,0.25% FeO/PVDF
3,4.074875379159026,0.25% FeO/PVDF
11,5.561426254607812,0.25% FeO/PVDF
17,4.027878107975196,0.25% FeO/PVDF
18,-3.086226473367156,0.25% FeO/PVDF
1,1.1150235779319528,0.35% FeO/PVDF
3,0.9648686355280673,0.35% FeO/PVDF
11,0.5813691861895484,0.35% FeO/PVDF
17,0.5480087614583681,0.35% FeO/PVDF
18,0.5463165748138797,0.35% FeO/PVDF
1,6.437355323794457,0.15% FeO/PVDF
3,7.236018061122827,0.15% FeO/PVDF
11,10.349389707887951,0.15% FeO/PVDF
17,20.374013674578904,0.15% FeO/PVDF
18,12.373647073517542,0.15% FeO/PVDF
