Thermal Conductivity (W/(m·K)),Fracture Toughness (MPa·m^0.5)
1.2001097620902734,-4.712621742356945,Poly(butylene)
1.6058449411753473,-4.629348550375273,Poly(butylene)
6.676402986877217,-3.479601701872545,Poly(butylene)
7.005517984905905,-4.327669697962802,Poly(butylene)
12.260729232147733,-5.072720236224898,Poly(butylene)
12.425093924865816,-2.642720650358927,Poly(butylene)
15.81579832480914,0.44532906414691453,Poly(butylene)
1.2001097620902734,3.141344878170293,Poly(ethylene)
1.6058449411753473,3.3367978996508336,Poly(ethylene)
6.676402986877217,2.8608789507076504,Poly(ethylene)
7.005517984905905,2.748001916956146,Poly(ethylene)
12.260729232147733,2.6452664267252612,Poly(ethylene)
12.425093924865816,2.6582979290639996,Poly(ethylene)
15.81579832480914,2.5513245432188123,Poly(ethylene)
