Neutron Flux (n/cm²/s),Charge Transfer Resistance (Ω·m²)
0.8320341071334436,5.006869737941491,PBA-a
4.36840118574718,7.795193190416002,PBA-a
5.967535401980413,7.698115635283483,PBA-a
10.48515995103896,40.05662068588583,PBA-a
11.902268899183849,54.722926796708975,PBA-a
12.638762274636694,42.06396682014501,PBA-a
0.8320341071334436,2.710392469475484,PMMA-PnBA
4.36840118574718,1.8119369260823301,PMMA-PnBA
5.967535401980413,1.6939248574896246,PMMA-PnBA
10.48515995103896,1.5878985405971417,PMMA-PnBA
11.902268899183849,1.569706118025879,PMMA-PnBA
12.638762274636694,1.562597807270405,PMMA-PnBA
0.8320341071334436,-0.5972051212925882,PP
4.36840118574718,-0.12025278689050856,PP
5.967535401980413,-0.0926993871937376,PP
10.48515995103896,-2.438990803525852,PP
11.902268899183849,0.6375103714077124,PP
12.638762274636694,5.294504202190655,PP
