Pressure (Pa),Hardness (HV)
3.564771174273569,1.0189630866482027,
3.7707248463655274,0.816223889073582,
10.156715677619026,1.0289295058329104,
18.61323695500327,6.035778104930428,
3.564771174273569,-2.001985909674281,
3.7707248463655274,-1.9386628403794115,
10.156715677619026,-2.2330862420127966,
18.61323695500327,-2.2733882338432774,
3.564771174273569,-1.1682150613599869,
3.7707248463655274,-1.2250607709144818,
10.156715677619026,-1.4402749227864269,
18.61323695500327,-1.485725809226117,
3.564771174273569,7.272468570077046,
3.7707248463655274,7.289348741708309,
10.156715677619026,7.08634067429083,
18.61323695500327,7.049841551754776,
