Heat Capacity (J/K),Polarization Resistance (Ω·m²)
2.5838708788632947,0.22986729665560884,0.15% Aluminium oxide/Polyphenylsulfone
16.19306223269843,-0.14778745699603246,0.15% Aluminium oxide/Polyphenylsulfone
18.438924083898655,-0.15086328307241817,0.15% Aluminium oxide/Polyphenylsulfone
2.5838708788632947,-2.467149901747306,0.17% Aluminium oxide/Polyphenylsulfone
16.19306223269843,2.4672309993243227,0.17% Aluminium oxide/Polyphenylsulfone
18.438924083898655,4.058605644213716,0.17% Aluminium oxide/Polyphenylsulfone
2.5838708788632947,6.160718997915683,0.94% Aluminium oxide/Polyphenylsulfone
16.19306223269843,214.73187683304525,0.94% Aluminium oxide/Polyphenylsulfone
18.438924083898655,-140.61406292827246,0.94% Aluminium oxide/Polyphenylsulfone
2.5838708788632947,6.66340560624168,0.95% Aluminium oxide/Polyphenylsulfone
16.19306223269843,6.150865113652983,0.95% Aluminium oxide/Polyphenylsulfone
18.438924083898655,6.111569490131967,0.95% Aluminium oxide/Polyphenylsulfone
2.5838708788632947,-3.1693440444795766,0.78% Aluminium oxide/Polyphenylsulfone
16.19306223269843,-3.7058898484773373,0.78% Aluminium oxide/Polyphenylsulfone
18.438924083898655,-3.709514683449165,0.78% Aluminium oxide/Polyphenylsulfone
