Tensile Strength (MPa),Galvanic Potential (V)
4.7957119304682045,-7.190876344914972,0.37% exfoliated graphene
14.646451208867779,-7.445177052583751,0.37% exfoliated graphene
18.857111660671112,-7.453720614839428,0.37% exfoliated graphene
19.199093436101073,-7.454052460168116,0.37% exfoliated graphene
4.7957119304682045,-0.6668710327439107,0.26% exfoliated graphene
14.646451208867779,5.886670608826833,0.26% exfoliated graphene
18.857111660671112,-11.74346183457136,0.26% exfoliated graphene
19.199093436101073,8.641018156465803,0.26% exfoliated graphene
4.7957119304682045,0.13797570612230714,0.05% exfoliated graphene
14.646451208867779,-0.09019652437715157,0.05% exfoliated graphene
18.857111660671112,-0.09912615115515669,0.05% exfoliated graphene
19.199093436101073,-0.09931817215083613,0.05% exfoliated graphene
