Nanoparticle Mass (%),Tensile Modulus (GPa)
4,-0.6216781620722511,PS
5,-0.9044077661544943,PS
7,-1.449263587651642,PS
8,-0.5342132806231936,PS
12,-1.5822954837503995,PS
13,7.417392093384704,PS
4,6.226053751181146,COC
5,7.856686689781104,COC
7,17.35765647095384,COC
8,13.76794424509303,COC
12,47.121758616482055,COC
13,77.06134589893601,COC
4,2.569734387915866,Poly(ethylene-vinyl acetate)
5,2.278989904513584,Poly(ethylene-vinyl acetate)
7,3.473817374497833,Poly(ethylene-vinyl acetate)
8,5.769288386919611,Poly(ethylene-vinyl acetate)
12,5.5835849531707185,Poly(ethylene-vinyl acetate)
13,6.178871676569502,Poly(ethylene-vinyl acetate)
4,8.18730920221031,Nylon 6
5,8.138795051873805,Nylon 6
7,8.045228217560126,Nylon 6
8,8.010532311642663,Nylon 6
12,7.946489412468968,Nylon 6
13,7.937727789571816,Nylon 6
