Hardness (HV),Hysteresis Loss (J/m³)
2,5.849795377050789,0.91% Poly(acrylonitrile)/PBTP
3,5.6924244473258625,0.91% Poly(acrylonitrile)/PBTP
6,5.612571636842389,0.91% Poly(acrylonitrile)/PBTP
8,5.367515470284253,0.91% Poly(acrylonitrile)/PBTP
13,5.237320516951794,0.91% Poly(acrylonitrile)/PBTP
2,-1.6884941132107185,0.37% Poly(acrylonitrile)/PBTP
3,0.3110197571321276,0.37% Poly(acrylonitrile)/PBTP
6,0.468418295344843,0.37% Poly(acrylonitrile)/PBTP
8,9.221266554677822,0.37% Poly(acrylonitrile)/PBTP
13,54.40140966775734,0.37% Poly(acrylonitrile)/PBTP
2,-6.729536483285113,0.47% Poly(acrylonitrile)/PBTP
3,-6.860946395904797,0.47% Poly(acrylonitrile)/PBTP
6,-7.074899911397974,0.47% Poly(acrylonitrile)/PBTP
8,-7.139137383780663,0.47% Poly(acrylonitrile)/PBTP
13,-7.329975702280825,0.47% Poly(acrylonitrile)/PBTP
2,5.6617304542769125,0.18% Poly(acrylonitrile)/PBTP
3,5.441712978288525,0.18% Poly(acrylonitrile)/PBTP
6,5.843674720791588,0.18% Poly(acrylonitrile)/PBTP
8,7.292826353531617,0.18% Poly(acrylonitrile)/PBTP
13,7.319117982593125,0.18% Poly(acrylonitrile)/PBTP
2,-1.6760412986036914,0.55% Poly(acrylonitrile)/PBTP
3,-1.8075253224598153,0.55% Poly(acrylonitrile)/PBTP
6,-2.03202024302893,0.55% Poly(acrylonitrile)/PBTP
8,-2.1532267640050575,0.55% Poly(acrylonitrile)/PBTP
13,-2.3704686608504595,0.55% Poly(acrylonitrile)/PBTP
