Crosslinking Density (mol/m³),Tensile Modulus (GPa)
3,5.294148942152882,Poly(acrylonitrile)/PEKK
6,5.929784436874673,Poly(acrylonitrile)/PEKK
9,5.2513916637276825,Poly(acrylonitrile)/PEKK
3,4.754770278003631,C.I. Pigment Black 6/PEKK
6,9.053274804947788,C.I. Pigment Black 6/PEKK
9,4.455732750451473,C.I. Pigment Black 6/PEKK
3,2.956585775467479,Bentonite clay/PEKK
6,5.470179597487733,Bentonite clay/PEKK
9,3.8876548357423184,Bentonite clay/PEKK
3,9.954284729521277,Cu(HO3PC6H5)2/PEKK
6,14.246750348891862,Cu(HO3PC6H5)2/PEKK
9,19.53342228451737,Cu(HO3PC6H5)2/PEKK
3,-4.3029269523565405,exfoliated graphite/PEKK
6,-4.486881375322316,exfoliated graphite/PEKK
9,-4.60242233700513,exfoliated graphite/PEKK
