Particle Diameter (nm),Hardness (HV)
8,8.905030863386973,
9,10.0616112000458,
11,6.567250730358843,
13,12.704671164604584,
8,12.124898553389954,
9,18.596547680967902,
11,1.5872217103764914,
13,29.28088628714807,
8,-6.832548884266833,
9,-6.914202157230088,
11,-7.043011540652108,
13,-7.099630588779149,
8,-4.6745460322647165,
9,-3.2370434831771657,
11,-5.634242453387971,
13,2.2194554300816485,
8,15.19840361368244,
9,9.681184537235941,
11,27.79523294477618,
13,33.17308033932807,
