Decomposition Temperature (°C),Complex Viscosity (Pa·s)
0.8656634446393197,5.163819023531188,OAP-POSS/Polybutadiene
6.501257802881084,4.588325794969181,OAP-POSS/Polybutadiene
13.59225482103337,4.236870897954591,OAP-POSS/Polybutadiene
14.995133789721836,4.173560962058811,OAP-POSS/Polybutadiene
0.8656634446393197,4.422843010712988,Triphenyl phosphate/Polybutadiene
6.501257802881084,13.627102844688231,Triphenyl phosphate/Polybutadiene
13.59225482103337,-7.3368084880020845,Triphenyl phosphate/Polybutadiene
14.995133789721836,1.0785609735518662,Triphenyl phosphate/Polybutadiene
0.8656634446393197,-0.28487781264525136,Molybdenum Disulfide/Polybutadiene
6.501257802881084,1.2160516432911983,Molybdenum Disulfide/Polybutadiene
13.59225482103337,2.3935089499535676,Molybdenum Disulfide/Polybutadiene
14.995133789721836,11.4668528997925,Molybdenum Disulfide/Polybutadiene
