Softening Temperature (°C),Oxidation Potential (V)
0.07476856443296764,2.4575766444501257,SAF/PTrFE
15.663685512065516,112.54264028926792,SAF/PTrFE
18.924269889629365,372.1063402501929,SAF/PTrFE
18.951700818927534,72.96024485170253,SAF/PTrFE
0.07476856443296764,5.919140100884691,SAF/PTrFE
15.663685512065516,6.440922452511672,SAF/PTrFE
18.924269889629365,21.33613390154668,SAF/PTrFE
18.951700818927534,21.59315586871851,SAF/PTrFE
0.07476856443296764,1.366542565314044,ZrO2/PTrFE
15.663685512065516,54.95072135663485,ZrO2/PTrFE
18.924269889629365,367.506618953074,ZrO2/PTrFE
18.951700818927534,1668.5359610423768,ZrO2/PTrFE
