Evaporation Temperature (°C),Conductivity (S/m)
2.7585163587480865,8.783918619797406,Silver/PVC-P
3.154783295147887,9.816478169812616,Silver/PVC-P
7.109442789266436,12.770437849208852,Silver/PVC-P
16.90225556561575,-65.0352498168388,Silver/PVC-P
3.166363432303141,-3.685384010835192,TiNT/PVC-P
6.786425238781268,-0.5774605412723393,TiNT/PVC-P
8.842653144731024,13.75692562595577,TiNT/PVC-P
10.283090590112762,22.084209415595673,TiNT/PVC-P
2.2525039663283697,9.093260082609392,Cu(HO3PC6H5)2/PVC-P
5.611006585444091,16.07346712780372,Cu(HO3PC6H5)2/PVC-P
8.215011989419146,10.30878526308398,Cu(HO3PC6H5)2/PVC-P
15.550876356645212,37.37993025502306,Cu(HO3PC6H5)2/PVC-P
