Specific Heat Capacity (J/(g·K)),Charge Transfer Resistance (Ω·m²)
9,6.969289190239636,
14,7.682421765864696,
15,2.3984447176447414,
16,10.984340088344261,
17,-1.3856308791619156,
9,7.7757340162472,
14,7.7232696082960866,
15,7.721034822647217,
16,7.718003959890202,
17,7.716145670268237,
9,11.09505888946019,
14,74.93296499844608,
15,80.05312576674979,
16,-32.48605293729048,
17,263.0265149361778,
9,1.0424519476860703,
14,4.535118450165526,
15,6.063687040218269,
16,0.9719886085930476,
17,5.7947825710002006,
9,23.746857073736713,
14,15.764959296593055,
15,156.00626183988726,
16,77.61669116076767,
17,-230.44786174554227,
