Reaction Temperature (°C),Coefficient Of Thermal Expansion (1/K)
2,-3.5998996253558975,MWNTs/PLA
3,-3.7832547467243396,MWNTs/PLA
7,-3.847304720720217,MWNTs/PLA
17,-4.183673260952197,MWNTs/PLA
2,-2.1836124741645038,talc/PLA
3,-2.3239228538476513,talc/PLA
7,-2.5230395382325703,talc/PLA
17,-2.6369892357065448,talc/PLA
2,7.08204711419436,graphene nanoplatelets/PLA
3,7.703753979935865,graphene nanoplatelets/PLA
7,10.680242286596103,graphene nanoplatelets/PLA
17,282.1663694056849,graphene nanoplatelets/PLA
2,-0.13613402811571662,graphene platelet/PLA
3,0.17905866435679663,graphene platelet/PLA
7,9.54228742858481,graphene platelet/PLA
17,304.6984503620119,graphene platelet/PLA
