Filler Content (%),Coefficient Of Thermal Expansion (1/K)
6,-3.412497528038954,Poly(ethylene)
8,-3.480023016300877,Poly(ethylene)
11,-3.6620816006633246,Poly(ethylene)
6,-1.4160628857769972,triglycidyl para-aminophenol
8,10.293013999494157,triglycidyl para-aminophenol
11,33.55621565729686,triglycidyl para-aminophenol
6,7.554308451660145,P(Baph)
8,9.44039904842062,P(Baph)
11,9.927754813383732,P(Baph)
6,5.640248400120577,Polybenzimidazole
8,5.616320056105018,Polybenzimidazole
11,5.4722523627467075,Polybenzimidazole
