Incubation Temperature (°C),Shear Viscosity (Pa·s)
2,7.178979208192535,OFG/Polychlorotrifluoroethylene
8,6.7080761177445245,OFG/Polychlorotrifluoroethylene
13,6.472656029895492,OFG/Polychlorotrifluoroethylene
2,6.426596024965015,OFG/Polychlorotrifluoroethylene
8,7.536021196916938,OFG/Polychlorotrifluoroethylene
13,9.909829722471455,OFG/Polychlorotrifluoroethylene
2,-2.6267813211004842,graphene/Polychlorotrifluoroethylene
8,-2.9639766245720995,graphene/Polychlorotrifluoroethylene
13,-3.206226023199109,graphene/Polychlorotrifluoroethylene
2,-2.4616087020862416,SAF/Polychlorotrifluoroethylene
8,-2.941361386497706,SAF/Polychlorotrifluoroethylene
13,-3.0072756820527973,SAF/Polychlorotrifluoroethylene
