Young’s Modulus (GPa),Electric Field Strength (V/m)
0.46493565547434335,6.495511144669924,0.04% Cu(HO3PC6H5)2/Poly(propylene)
1.9889265455660854,6.0716729885554095,0.04% Cu(HO3PC6H5)2/Poly(propylene)
2.4921523226591025,6.100357621990014,0.04% Cu(HO3PC6H5)2/Poly(propylene)
5.532243769244813,5.901290264279471,0.04% Cu(HO3PC6H5)2/Poly(propylene)
0.46493565547434335,6.80677857849604,0.9% Cu(HO3PC6H5)2/Poly(propylene)
1.9889265455660854,6.449318588886669,0.9% Cu(HO3PC6H5)2/Poly(propylene)
2.4921523226591025,6.711465796451468,0.9% Cu(HO3PC6H5)2/Poly(propylene)
5.532243769244813,6.726639715990199,0.9% Cu(HO3PC6H5)2/Poly(propylene)
0.46493565547434335,4.00134191551545,0.32% Cu(HO3PC6H5)2/Poly(propylene)
1.9889265455660854,4.137749150443392,0.32% Cu(HO3PC6H5)2/Poly(propylene)
2.4921523226591025,4.669319035243439,0.32% Cu(HO3PC6H5)2/Poly(propylene)
5.532243769244813,4.60673972957944,0.32% Cu(HO3PC6H5)2/Poly(propylene)
