Nanoparticle Mass (%),Polarization Resistance (Ω·m²)
7,-2.8023598651319355,
8,-2.799403283485236,
13,-2.969082521255362,
15,-3.0269660800962965,
7,-3.1133566651316236,
8,-3.0880774555206694,
13,-3.2850301163617797,
15,-3.3320875715798333,
7,18.02484216563372,
8,17.17479614438836,
13,38.90655629549796,
15,26.395839385037142,
7,9.30963715787091,
8,11.246052577091238,
13,10.623887312264362,
15,12.824247819770852,
7,-3.90460649707185,
8,-4.000767366919889,
13,-4.181212482652346,
15,-4.220476912837047,
