filler labels,Polarization Resistance (Ω·m²)
0.8091242430085188,0.6163675926696088,Polyamide-imide
1.8100224433285783,0.5011890697739448,Polyamide-imide
6.315350333375342,0.10562651498303288,Polyamide-imide
13.56972758033531,-0.04572192206196231,Polyamide-imide
15.087955215395006,-0.05067523790993536,Polyamide-imide
18.59198370150456,-0.05724888793667722,Polyamide-imide
0.8091242430085188,-3.9329883592809782,PAMS
1.8100224433285783,-3.9681529419733206,PAMS
6.315350333375342,-4.345932325038332,PAMS
13.56972758033531,-4.603996383662871,PAMS
15.087955215395006,-4.656903008479098,PAMS
18.59198370150456,-4.723914121848415,PAMS
