Time (s),Heat Of Crystallization (J/g)
0.02346091367995573,1.4576914613160081,0.58% Calcium copper titanate
10.066511214793014,0.7141768060199744,0.58% Calcium copper titanate
10.067492015696759,0.7158055560434072,0.58% Calcium copper titanate
13.463372346574143,0.6820934823345031,0.58% Calcium copper titanate
17.057998270352254,0.6717884107103828,0.58% Calcium copper titanate
0.02346091367995573,-6.39209635832643,0.31% Calcium copper titanate
10.066511214793014,-7.067747162465193,0.31% Calcium copper titanate
10.067492015696759,-7.086388808711983,0.31% Calcium copper titanate
13.463372346574143,-7.212378029880832,0.31% Calcium copper titanate
17.057998270352254,-7.289904595040785,0.31% Calcium copper titanate
0.02346091367995573,-1.6570701053601773,0.57% Calcium copper titanate
10.066511214793014,-2.359245996355025,0.57% Calcium copper titanate
10.067492015696759,-2.392258061207513,0.57% Calcium copper titanate
13.463372346574143,-2.473383392702699,0.57% Calcium copper titanate
17.057998270352254,-2.5529831082673953,0.57% Calcium copper titanate
0.02346091367995573,-4.407926571219619,0.63% Calcium copper titanate
10.066511214793014,15.225998199690569,0.63% Calcium copper titanate
10.067492015696759,25.984729477495335,0.63% Calcium copper titanate
13.463372346574143,-0.513947505241724,0.63% Calcium copper titanate
17.057998270352254,102.28106805067964,0.63% Calcium copper titanate
