UV Exposure Time (h),Decomposition Temperature (°C)
2.3691305064102175,-0.8348487299015098,0.27% Gold/Polyamide-imide
6.751570965015152,-1.1872474954230574,0.27% Gold/Polyamide-imide
9.070182449148287,-1.1766191659080731,0.27% Gold/Polyamide-imide
9.679365377833808,-1.164339445230204,0.27% Gold/Polyamide-imide
9.966596307277957,-1.2116756906800958,0.27% Gold/Polyamide-imide
15.010694888112837,-1.3496892010758095,0.27% Gold/Polyamide-imide
2.3691305064102175,-4.182553515985132,0.81% Gold/Polyamide-imide
6.751570965015152,-4.441583115439788,0.81% Gold/Polyamide-imide
9.070182449148287,-4.452674374086213,0.81% Gold/Polyamide-imide
9.679365377833808,-4.523196251936334,0.81% Gold/Polyamide-imide
9.966596307277957,-4.510526826085283,0.81% Gold/Polyamide-imide
15.010694888112837,-4.685099191802389,0.81% Gold/Polyamide-imide
2.3691305064102175,-5.296395092765017,0.43% Gold/Polyamide-imide
6.751570965015152,-4.976210348843588,0.43% Gold/Polyamide-imide
9.070182449148287,-4.817778318365959,0.43% Gold/Polyamide-imide
9.679365377833808,-4.547525051708683,0.43% Gold/Polyamide-imide
9.966596307277957,-1.958354041872501,0.43% Gold/Polyamide-imide
15.010694888112837,0.5453492915222427,0.43% Gold/Polyamide-imide
2.3691305064102175,-4.133102794762599,0.7% Gold/Polyamide-imide
6.751570965015152,-3.5821479218888705,0.7% Gold/Polyamide-imide
9.070182449148287,-4.24408706911874,0.7% Gold/Polyamide-imide
9.679365377833808,-5.90031205760485,0.7% Gold/Polyamide-imide
9.966596307277957,-3.519038532209083,0.7% Gold/Polyamide-imide
15.010694888112837,-2.06559046285823,0.7% Gold/Polyamide-imide
2.3691305064102175,-0.8819233669870525,0.67% Gold/Polyamide-imide
6.751570965015152,0.5700104735018883,0.67% Gold/Polyamide-imide
9.070182449148287,-0.1344537616456114,0.67% Gold/Polyamide-imide
9.679365377833808,0.6681501332703577,0.67% Gold/Polyamide-imide
9.966596307277957,-0.9878960950241811,0.67% Gold/Polyamide-imide
15.010694888112837,4.083137708030505,0.67% Gold/Polyamide-imide
